year,language,value
2016,JavaScript,55.4
2016,Python,24.0
2016,Java,38.1
2016,TypeScript,7.0
2016,C#,31.0
2016,C++,19.0
2016,Go,5.4
2016,Rust,1.5
2017,JavaScript,62.5
2017,Python,31.7
2017,Java,39.7
2017,TypeScript,9.5
2017,C#,30.0
2017,C++,22.3
2017,Go,7.7
2017,Rust,2.6
2018,JavaScript,71.5
2018,Python,37.9
2018,Java,45.4
2018,TypeScript,17.4
2018,C#,35.3
2018,C++,14.4
2018,Go,7.2
2018,Rust,3.4
2019,JavaScript,67.8
2019,Python,41.7
2019,Java,41.1
2019,TypeScript,21.2
2019,C#,33.3
2019,C++,20.0
2019,Go,8.2
2019,Rust,3.9
2020,JavaScript,67.7
2020,Python,44.1
2020,Java,40.2
2020,TypeScript,25.4
2020,C#,31.4
2020,C++,23.9
2020,Go,8.8
2020,Rust,5.1
2021,JavaScript,64.96
2021,Python,48.24
2021,Java,35.35
2021,TypeScript,30.19
2021,C#,27.86
2021,C++,24.31
2021,Go,9.9
2021,Rust,7.0
2022,JavaScript,65.36
2022,Python,48.07
2022,Java,33.27
2022,TypeScript,34.83
2022,C#,27.98
2022,C++,22.55
2022,Go,11.0
2022,Rust,9.3
2023,JavaScript,63.61
2023,Python,49.28
2023,Java,30.55
2023,TypeScript,38.87
2023,C#,27.62
2023,C++,22.42
2023,Go,13.2
2023,Rust,13.1
2024,JavaScript,62.3
2024,Python,51.0
2024,Java,30.3
2024,TypeScript,38.5
2024,C#,27.1
2024,C++,22.7
2024,Go,13.5
2024,Rust,12.6
